,count,mean,std,min,25%,50%,75%,max
id,70000.0,49972.4199,28851.30232317303,0.0,25006.75,50001.5,74889.25,99999.0
age,70000.0,19468.865814285713,2467.2516672413913,10798.0,17664.0,19703.0,21327.0,23713.0
gender,70000.0,1.3495714285714286,0.47683801558294814,1.0,1.0,1.0,2.0,2.0
height,70000.0,164.35922857142856,8.210126364538139,55.0,159.0,165.0,170.0,250.0
weight,70000.0,74.20569,14.39575667851056,10.0,65.0,72.0,82.0,200.0
ap_hi,70000.0,128.8172857142857,154.01141945605565,-150.0,120.0,120.0,140.0,16020.0
ap_lo,70000.0,96.63041428571428,188.47253029643605,-70.0,80.0,80.0,90.0,11000.0
cholesterol,70000.0,1.3668714285714285,0.6802503486997775,1.0,1.0,1.0,2.0,3.0
gluc,70000.0,1.226457142857143,0.5722702766136001,1.0,1.0,1.0,1.0,3.0
smoke,70000.0,0.08812857142857143,0.28348381677011014,0.0,0.0,0.0,0.0,1.0
alco,70000.0,0.053771428571428574,0.22556770360401027,0.0,0.0,0.0,0.0,1.0
active,70000.0,0.8037285714285715,0.3971790635048892,0.0,1.0,1.0,1.0,1.0
cardio,70000.0,0.4997,0.5000034814661523,0.0,0.0,0.0,1.0,1.0
